y,x0,x1,x2,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,0.124552989733209,0.3089829390148769,0.5455843475444044,-0.8077017859294778,-0.5751652650654552,-0.668837769485704,-0.2907795669685241,0.4432308865417435,0.05660445149433384,0.030510027423173894,0.13703235445985368,0.8191862976573888,0.24168523889789054,1.034931598492139,0.4365127680775787,-1.0018830595182453,-0.559467931285497,0.5233426368843426,0.17401260077412375,-0.8798219341181777,0.14996729710011428,0.3510825794146474,-0.07687305695335128,-0.47504766979269514,-0.03554304819543956,0.058424774592186104,-0.5016606756869182,0.5036866549610759
1,0.9484078060345064,0.5655880376558566,0.1223275248295721,-1.4317861628932025,-0.977253692406974,-1.3817810061896365,0.11854359805921981,0.5515426018776748,0.33514192450655444,-0.17305656684847676,0.09089486850039524,1.4386957749327864,0.19095191213034896,0.7744458534759251,0.0355873749720374,-1.504328714576919,-0.8709130107278623,0.9540849946429053,0.2516406758827323,-1.054593426277458,0.25576624088138017,0.40964668987605035,-0.5157871052159311,-0.5634367198147056,-0.113459242374627,-0.03382427016504374,-0.4774475111044788,-0.4795066614523009
0,0.3221536150026741,0.2032391467100148,0.992859852318297,-0.5169836048418943,-0.683644516610124,-0.22866511909390705,-0.27996304792697774,0.5392306728903968,-0.11350060841487104,0.1742820741558822,-0.02430168484377232,0.7704597441153059,-0.029711713518739274,0.9444483329637414,0.3728869902352403,-0.8890044582338119,-0.1282183697512451,1.044923764343137,0.12462611972997495,-0.6357294278511183,-0.16545773513626308,0.15639926354074873,-0.060316790207144755,-0.18491547242323841,-0.344502075353901,-0.18946031174873124,-0.6889673861858832,0.6509693771399928
1,0.9233414829298998,0.6617126943090821,0.90215626463816,-0.8931340308038447,-1.2282785186843124,-0.9932666800473506,0.2730345423056343,0.6933237955742492,0.03737348923104299,0.01744508306053666,-0.01011198128257823,1.5198887662536231,-0.5168977773688168,1.0319113483689695,0.16136930586632178,-1.1493987937866492,-0.5150823953194485,1.5142055544043411,0.15878395315465493,-0.9007120991807479,-0.48831410830565813,0.5190734830932937,-0.44578464412550467,0.20934699866655648,-0.28875040757251536,-0.12417070633745453,-0.6266606383764688,-0.5260547628057399
1,0.3443803860843416,0.7818360672590278,0.6912228108757766,-0.7628337371159112,-0.9244238773633784,-0.9150553875439665,0.016474012483002447,0.6863853777059276,-0.16722240288098528,0.35667115610625866,0.1822101568960387,1.1300616983419811,-0.21821910719024115,1.159616811852847,0.2925139354999746,-1.1386456985674622,-0.5740137896028437,0.8298669343697064,0.16368345425397862,-1.3792154395850096,-0.32829166935223886,0.6809706635199941,-0.28756370953987065,-0.2043007992856428,0.12098171065080165,-0.1210759590333423,-0.4802562173299408,-0.13118516255685087
0,0.296413125764518,0.1697448911945328,0.7092894741823788,-0.725904364120672,-0.6822431830516636,-0.5143990960900094,-0.2841853072672024,0.46674999873709416,0.026670710490518855,0.025367084487041752,0.1317470674355796,0.8330757074291391,0.14520392283401107,0.9542725987340651,0.4240111177233489,-0.9025912451179836,-0.4329962370645206,0.7341909928780197,0.23128659555531564,-0.7108724302175841,0.035879250637680514,0.20501880394752314,-0.10877990201249764,-0.3612221414200515,-0.23487655670330954,-0.0534142737842879,-0.54944179083189,0.5812357527120167
0,0.3969751580909694,0.3280901136381761,0.4020794673531926,-0.9497382519368068,-0.7042333766336827,-0.8711841114271147,-0.20002444005982709,0.5225323826332229,0.1369924088044283,-0.004240718469134118,0.15949368496907607,0.9795397393456132,0.17224098002497443,0.9080780972669876,0.33959553578681273,-1.02718774802186,-0.6554968105669837,0.6008090481753026,0.2543725088831701,-0.8760702435968599,0.11320220105868603,0.3331762452912047,-0.21826368398709445,-0.4561593973591843,-0.04728286433702584,0.03455274602480695,-0.4724170594895141,0.30959497327500524
0,0.1623687951514155,0.3803797973685066,0.4021633331547145,-0.8878688058611772,-0.5777005573145088,-0.8151849154980697,-0.2584891794908434,0.4779655590632075,0.12194069622788659,0.02600227833035828,0.13145854824193662,0.885281472832492,0.25287980813494393,1.0023829416322199,0.3981998265419053,-1.0606458181227918,-0.6569107499170014,0.4568307088051446,0.16792205226429313,-0.9456573946433057,0.16762354130573928,0.40565905194967966,-0.1352604985167696,-0.5202374093459285,0.053895536665338487,0.10044523425839623,-0.46707782640770523,0.39363051441153296
0,0.4464151702115151,0.8630181939796843,0.4913647437806924,-0.9336467991827199,-0.9713604669083761,-1.1479972857227732,0.14953362728008818,0.6634505296116128,-0.000583509549396068,0.3291454649994825,0.2427511907098271,1.2425135501363669,-0.16838437151073868,1.125950852932866,0.23612200134052688,-1.3037186266519203,-0.7189341015402686,0.7321619489240764,0.17197575528572345,-1.4713802391908108,-0.3331697662975923,0.7444871445667323,-0.4121425205716903,-0.3133862792923293,0.22240087405433298,-0.10604097396507779,-0.4484085235626029,-0.3137870153886927
1,0.7264890879494266,0.500956316024716,0.7178295840495795,-0.9208345738386923,-1.0287380379768185,-0.9022323641003471,0.040105355660385325,0.651681244995907,0.0297004942298826,0.03463905672507378,0.11080436324600527,1.2522673836411191,-0.21057410349857741,0.9478880997008442,0.25826319467469905,-1.07942037083099,-0.536541283138701,1.1091082674522785,0.22861272693459286,-0.8865588880247437,-0.2147662136881423,0.40871192218648034,-0.383872216213236,-0.054990202743426406,-0.23321068046268295,-0.06326244033573558,-0.5585113053712828,-0.07230912162801739
