y,x0,x1,x2,x3,x4,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
0,0.2830973962905048,0.2465339524172484,0.2756013000101577,0.53569335751792,0.4186506959139404,0.12161649108339116,0.6905462858054447,0.39598514328160245,-0.23034643038570787,-0.1728680418557094,0.6870161341808843,-0.1593970744712796,-0.7163717165690218,0.5883746047773185,-0.9101559734294594,1.0421874728072626,-0.17762387460401474,0.5317621863623756,0.43355828305747873,0.6688190238263961,-0.5167762239814855,-0.850976216016297,0.4168484464417974,1.0909867203625103,0.16053201753019067,-0.6674654291174069,0.31632113838306697,0.6483766929181212,-0.46213580525277087,-0.04331125267632749
1,0.5129127960580209,0.1378385458222506,0.3026481992004854,0.9437629565572992,0.0781229031843112,-0.03853632415710422,0.4882729200199312,0.10241391623194283,-0.2568277039505168,-0.10576767615474376,1.026335594155,-0.055983391097127494,-0.8490924762261131,0.340130716436522,-0.8297076606170664,1.4953302930194814,-0.7466023638585835,0.311731908089683,0.1355952155220757,0.984930914635977,-0.9366748516308829,-0.9844415612970302,0.6062590095595781,0.9937417041729384,0.48450907406802973,-0.2841390620922264,0.6585037130870078,0.322803677001984,-0.46592801994702493,-0.18573673280103808
0,0.8614459089165459,0.7338889301913734,0.3861358665080768,0.4668927293958848,0.1671895741858163,0.060683043714668816,0.5653406383301841,0.2103043578933013,-0.4606010391269194,-0.4009874729366287,0.8735491071811522,0.07218187280915729,-0.9546515916656778,0.16430203735001975,-0.92339598817486,1.2769537230614092,-0.15178871054105889,0.36493264644342616,0.0060501563880942895,0.5066086801475076,-0.07419212500734688,-0.8206690317193583,0.6527784707540076,1.089864641612973,0.4956300288647604,-0.299087649483932,0.6834653360310805,0.5326432641205174,-0.24657899182462722,-1.0160076651271375
1,0.7798206623898813,0.7957340608969868,0.661343708406567,0.1974068677904099,0.2163726092408502,0.1728217273749596,0.5138995463936077,0.38049152803209607,-0.38149652740153495,-0.5704664950591413,0.5822623541137923,-0.14315372432675527,-0.8821324785381631,0.13832294254582922,-0.8892358899369572,0.9509770962237268,0.47157425025895267,0.6710617310837957,-0.042512057221308,0.3473302458707873,0.3683925241714814,-0.6945759982018049,0.4437253786950556,1.034596980605213,0.02192888605480773,-0.4454524854574197,0.7911104678518311,0.8360426189410795,-0.2896386156021306,-0.8360983427900986
0,0.4943760121728427,0.4711037615929416,0.4670286039168434,0.4218253428996417,0.0638464992780457,0.2570808594713899,0.6047868415958293,0.3306725572325215,-0.1611216890319141,-0.3865522672241283,0.7094123567655749,-0.024745019562024097,-0.6509137112870608,0.4247742759303478,-0.7405990967279357,1.0687815880749572,-0.03364599525731213,0.5928040661071756,0.24770001177907947,0.5882616658535319,-0.3070741314520099,-0.6045320609129108,0.5945813239693558,0.8979309985482964,0.13963714037940775,-0.44242723587237825,0.3302051459803482,0.6046166133309666,-0.3655601176199626,-0.3810258724072532
1,0.902142622644427,0.3243450348585621,0.5390715089960926,0.1460518367395212,0.3146868321829941,-0.11554074708918964,0.4954215229617095,0.6152944667337945,-0.19713463633644826,0.029989172426937296,0.4595716858356653,-0.2210973456646281,-1.2975386341236497,0.709304323023899,-0.9287485628268233,1.397744661011413,0.14858083513704254,0.8347180670370055,0.25725599415717243,0.8901509126042432,-0.2070216962052074,-0.48833493854078325,0.4647050083595122,0.8779663801640973,0.061786707238346,-0.6453562160833919,0.4358657838611692,0.6661914727673299,-0.46505578646843876,-0.7220635908820847
1,0.3740419406356812,0.6473662667151143,0.4449860648744788,0.7785022266547424,0.6943551736904489,-0.04637221303700204,0.6393233783699087,-0.0384164286049029,-0.5763485613227528,-0.24754451020647264,1.1687449941847803,0.046329610828554316,-0.6223179705848984,-0.04157030240675875,-1.144658675344177,1.4722397257901967,0.009723690825114178,-0.043058754945188,-0.050096941012350044,0.39573443162042804,-0.32212317262599316,-1.2101932328003646,0.11954719647055152,1.1704159331000057,0.32748795250179885,-0.28371498937840545,0.8947247088781559,0.5680329520258891,-0.2856782075617749,-0.12218055221595356
0,0.9917216413476936,0.802648804660512,0.3180076660779315,0.6443301665894335,0.4336167836213315,-0.29359287864143113,0.6553838853132056,0.02682664964461605,-0.8298743469767041,-0.20475675417832534,1.1715991076897936,0.10490325110011706,-1.157815688588488,-0.0202622166852169,-1.2104233159831501,1.7399653190099935,-0.31653058092889974,-0.03484838368821558,-0.23908532213227424,0.4264132463894325,-0.2269939908690753,-1.0927763691417718,0.5367350130208913,1.2513389590993935,0.8441135868660791,-0.24496965937765874,1.117603817382885,0.34513766590166206,-0.2983949789295382,-1.1766990373539374
0,0.0979852939642472,0.7979260735236677,0.4181039009086389,0.4625121945535835,0.2556229894800722,0.6864238783475185,0.7202461995418764,0.15806780230545892,-0.21680402253694203,-0.49911005442892664,0.9545402067180246,0.056754520254549495,-0.3951848522014835,0.19858315931446094,-0.7951129989325689,0.8625786561092742,0.23934308483407168,0.6496662738650097,0.22090545699177588,0.28032769189339896,0.11779802864655198,-0.750085808389836,0.43848520574015093,0.9038069221532912,-0.01632384590323525,-0.17407893321026965,0.41375172065211996,1.0467880296548384,-0.29557961330286475,-0.09951666491903143
1,0.3256631545983564,0.2970191924858993,0.951775341766526,0.2145211196747535,0.5507195027619264,0.3079799897037417,0.3970580849255106,0.5035125726202528,-0.5462692382865041,-0.44498124424876456,0.08079487049122692,-0.5040094485539133,-0.5565851135929367,0.8022197074861864,-1.184173570999145,1.0689537440925427,0.8727695606143291,0.7217100822857024,-0.027611801532407138,0.7505303145973331,0.1433505775646447,-0.6220547497732726,-0.029831807424661985,0.5527858939640484,-0.4226342531209475,-0.8559513441116162,0.6330648508548963,0.8494318794060959,-0.24772064867814844,-0.12325112633062148
