y,x0,x1,x2,x3,x4,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09
0,0.9491664960228378,0.2088447607001216,0.5055950512412154,0.2395176364284175,0.4390140454162741,0.22310916968694453,0.22716604110051533,-0.12594310667351188,-0.4862751336180317,-0.07743989713804977,-0.680090629997848,-0.48260085151914156,0.567640031622607,0.710768389710586,-1.4937234012387992
0,0.6035650376639635,0.4335019903057514,0.864073489022864,0.2815245986752767,0.2959988540372013,-0.0030663755582626163,0.31061987334416097,0.07612975496441722,-0.6372180049901244,0.26581736578964227,-0.43072403615553634,-0.21987114093428847,0.42157757851004857,0.5171343802659276,-1.5358448860162894
0,0.9265806448301144,0.1227945205691362,0.3847718843340981,0.2730664312886247,0.5814537091370029,0.3247078212135688,0.2125680894284094,-0.14555539481536167,-0.49385137985308336,-0.12204829392730523,-0.6881485883707477,-0.4604832449933144,0.6613748704475328,0.663827580244465,-1.4513687886004296
0,0.1391644135487098,0.47459726430541,0.972042743058522,0.2111417477262462,0.4817784359563815,-0.026254523097199736,0.16061542843707172,0.02326417103229672,-0.7857734360209244,0.42498332300687014,-0.289815607272353,0.10839616581892379,0.3980292464956716,0.36199174992451405,-1.631683678773242
1,0.665067670227566,0.799809828456183,0.9615291945608132,0.8637859642176131,0.2785505599691087,-0.04044460564789246,0.9018277672699373,0.026747520410981787,-1.2783555079490616,0.9962778522471281,-0.024436869748937197,-0.3514434136068556,0.7890149011324631,0.2616150795605202,-1.8051137695200923
0,0.558868713774336,0.3326319263472377,0.3199990917815815,0.5134146282401586,0.7339453609421721,0.2415821644565956,0.35998391319991685,-0.02065646958898145,-0.6038899764555498,0.20646966432437822,-0.24711106967889165,-0.18710251916849477,0.848109439214286,0.3793310005777486,-1.376108620490785
0,0.847715152911139,0.9468046359798704,0.3821769446507096,0.0418463228032832,0.3464906111254746,0.19649479803538192,0.4357581805458537,0.05748872921859315,-0.8409312574935538,-0.11746782126630544,-0.4637589656908595,-0.33671867760989427,0.8611280230268131,0.820072704410933,-1.1000378455984325
0,0.5066941422860849,0.1393101151673667,0.3561644235104603,0.4890188344509643,0.3935952522616535,-0.03604708638341035,0.306840843155799,-0.028637901507563443,-0.39194455188518285,0.43079207142435216,-0.41711389397502746,-0.16115528966180287,0.6843315743693166,0.4534594669093765,-1.3918028111956438
0,0.4908949581549141,0.3061155131597881,0.1480637648961843,0.5766021194368934,0.7919239580764996,0.15995434758920066,0.35343968063451436,-0.02511898136395376,-0.5953350332250933,0.23191396784328466,-0.18852747697300892,-0.17514594840914038,0.9781577737930678,0.29253732415535055,-1.2213370254622107
0,0.9414366106158047,0.0460099801288421,0.8555774853671289,0.4035813753716194,0.4971052563510441,0.10377635751361639,0.2885334557056782,0.011794335214422271,-0.4831722006419287,-0.013700685857443377,-0.7942424547076476,-0.3882709239730232,0.3107639817314553,0.625707166206226,-1.8920664732896726
0,0.2535385697297653,0.3244701392682539,0.6720662672655238,0.8172094738208737,0.0508828209398564,-0.4640494989936761,0.409316649807917,0.2020208610809336,-0.5462476785955999,0.982113015984868,-0.27068319943942376,0.043424842254414654,0.7902667982903252,0.20964831722431088,-1.572728867344172
1,0.7414806246620541,0.158173509580273,0.9662033729299292,0.7727217518632434,0.40204718415515,-0.27955180453114475,0.5460281553423291,0.12424450753936628,-0.622571356654003,0.6525027291590023,-0.4946164000710187,-0.30114296365911575,0.3716079548553019,0.21594850321347395,-2.1773679633857723
0,0.1578825320127901,0.8892576561723915,0.3102990153464663,0.9220688047514288,0.8132726105328056,0.12851798789666083,0.6373529767664402,0.0061428146010524196,-1.3454812906141929,0.8782850723398987,0.2960994042160288,0.26210802535181443,1.2786782583889973,0.2729462762147243,-1.4437475232358163
0,0.95533117489713,0.1043554592314268,0.5148973226591482,0.3382221527302639,0.7422443030315758,0.43200995662141145,0.28644506638263983,-0.09574975417640584,-0.5374315827741869,-0.2625502747243921,-0.710220264318693,-0.42123617653226764,0.6525782225409535,0.6269153067416126,-1.565802726640771
0,0.7122846131575362,0.1777198995990618,0.9380448780841516,0.972502885885792,0.8307062746856649,-0.009789774293790292,0.9717665259618603,0.07698855360810078,-0.8650262348980129,0.5346365494433942,-0.544398460751126,-0.2045909332898886,0.5095737662429731,0.07882458857838803,-2.4468052219227845
1,0.9027165549026088,0.3037451599956452,0.821609160728223,0.4627977247414898,0.7451754465456397,0.4019446542963377,0.48456706761903334,-0.03392272766318902,-0.7533529445161476,-0.060253513570481365,-0.6524440560564241,-0.3723106834080093,0.44883393030094904,0.5368865834848404,-1.8042193487973015
1,0.2594844539743304,0.2678203235093737,0.1091872288159249,0.6733645743200164,0.6473978983098704,-0.13740742302634465,0.4047557913465486,0.01254187154215719,-0.5014774053030103,0.5049916075883808,-0.20897419436727993,0.006864025564351679,0.9515567449238294,0.29124081235666155,-1.1957584632168399
0,0.2131929494482343,0.1511211854641035,0.7064748933945494,0.2395199530850922,0.3090585670722934,-0.17842443027133223,0.1340322615314888,0.045332744652699736,-0.47434509881148734,0.4606617442140367,-0.42155728609700927,-0.06153874469382549,0.4151997049136556,0.3811383987343146,-1.4132609365055366
1,0.932205324411568,0.83828074472866,0.534495479387895,0.8943536825873661,0.8859842126124816,0.6849833710129647,1.162691610320461,-0.4146084702206735,-1.4845546787316017,0.5696942370374174,-0.03540751059644648,-0.6873630008156171,1.0843103045710365,-0.005493374144185964,-1.4433434102619522
1,0.455249694237498,0.4582415989938838,0.1855739016524848,0.1004812087577378,0.4273147784434424,0.04839665095403526,0.12514366514135192,0.014604423480809328,-0.578671081872784,0.2235541301080911,-0.4491457431039473,-0.16352278880314663,0.7088175263905961,0.628578137161502,-1.2086947691868397
1,0.600225936619307,0.2847327540696133,0.4876316903169663,0.4089331173905629,0.1001161876091701,-0.10022236248700497,0.27101512424991825,0.02784228055663374,-0.4221372129801659,0.44338030261398603,-0.3862406358207539,-0.24001606229081643,0.6210121553988905,0.48364310302040525,-1.3676210356934442
1,0.7092773631867482,0.4693360523962135,0.9372494132972664,0.9213725865756452,0.2464540668759591,-0.3855368228639468,0.7765742175533089,0.062079965776566895,-0.8879856465542647,1.0324915549721398,-0.20967401476884076,-0.39284252987864077,0.6513928288836551,0.06985976647869398,-2.0845947219109133
0,0.9200706583435192,0.5788085083538534,0.0270835770822169,0.5612342318368051,0.3202755734436274,0.1248996435791331,0.4236040631855585,-0.43007897442957144,-0.5916618296497319,0.5045438536917874,-0.37909717204304944,-0.6633160451548699,0.9565930253811601,0.34211165740783683,-0.9785770841969508
0,0.8458764676123669,0.06954716358249,0.0695064632711848,0.6927103067089307,0.7862556024909585,0.20027541719977351,0.43244770515700626,-0.19905841324151502,-0.4225784383242422,0.14196917295253336,-0.39275666716191304,-0.4054283047653256,1.0548641771936578,0.1762815062128928,-1.1492138319378855
