y,x0,x1,x2,x3,x4,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
0,0.9491664960228378,0.2088447607001216,0.5055950512412154,0.2395176364284175,0.4390140454162741,0.8080609799266496,1.1819292454315844,-0.07917583034962841,-1.2115178495341208,0.9310088994845382,1.4512659021727765,-0.4190763783486773,-0.7395711289841469,-1.0178664934229311,-0.8021613651613816,-0.6343321039641457,0.15345760178168463,0.03818644784241006,0.7766967245998201,0.6871646788474698,-0.5399935388855649,-0.33220071100740706,-1.2083133985392356,-0.9351897428329272,-0.32034882767135914,0.17817576552581316,0.6373800650072393,0.4311890396381373,0.7110396253757469,0.19299579506574482,-0.2483936433362588,-0.42824143919552515,-0.34739091850816456,-0.4016754272281127,0.22711869910215826,-0.4724071542771074,-0.2075511389559986,-0.509548831167832,-0.2326488135207866,-0.8679893229898987,-0.2688968644212072,-0.39612710632465037,1.1901843071472051,-0.7215175562129923,0.15901088154454382,0.7242868267661938,1.213403956594948,1.2663982899594037,0.08907526620604439,0.25682957099389253,0.7286013777173393,-0.9136405876328074,0.0449507697894006,-0.22826143072486055,1.4877527355934426
0,0.6035650376639635,0.4335019903057514,0.864073489022864,0.2815245986752767,0.2959988540372013,0.895304223500151,0.8611633819880975,-0.10936960431151257,-1.1197710061515502,0.8673533680438935,1.3486937337287734,-0.2972714938468974,-1.1497240850886774,-0.8397034276515043,-0.5523471182790346,-0.36682310011764147,0.5297702358506625,-0.13082470471052887,0.2509372193012633,0.6176077010090827,-0.19334706529665605,-0.7133616181099922,-1.1895043887851335,-1.084670665070697,-0.7390722125558472,0.0774952457048634,0.20360896030974457,0.39100564789476694,0.7052996632762688,0.36716946125252153,0.16558227524182487,-0.2999814290569022,-0.37562967026354266,-0.26332516597344113,0.053946322206911666,-0.7714915843484539,-0.10486600355677206,-0.25345350421410845,-0.12140361745679414,-0.9895467561326966,-0.055024660954650466,-0.8828465312969135,1.6361041299607149,-0.37760064198122867,0.30975592172396604,0.36636254716002453,1.172506431960114,0.9981000713327882,-0.12580404441162416,0.3272944783144249,0.6207722805363078,-1.2868703723341923,-0.17680239366082875,-0.18690237143081403,1.3678636950153609
0,0.9265806448301144,0.1227945205691362,0.3847718843340981,0.2730664312886247,0.5814537091370029,0.9146671457987056,1.1568987977202487,-0.09231411804489505,-1.2835460232330937,0.8936086578466879,1.541189783587188,-0.45786493741693024,-0.7159980670432162,-0.9556230016022054,-0.7167978878169062,-0.5641744294936654,-0.05472146370837949,-0.008829646614464767,0.8417585671014236,0.6742649976725618,-0.6783941417201064,-0.3789731272729545,-1.210142605838834,-0.9600550137319663,-0.2550365736356576,0.09986890918558085,0.719621479545865,0.38245269868083515,0.6786587381196191,0.15671863236426867,-0.2215897295779232,-0.3524262067639256,-0.29314322236361956,-0.48271644085109994,0.3174201276148297,-0.5062418855692292,-0.18298782830506208,-0.641735128163965,-0.3098694511022665,-0.9071705683156439,-0.2620522102847815,-0.2899280080275423,1.0480387813768992,-0.7148646618596693,0.13337095706965454,0.7026307762267938,1.2678031163813963,1.3574829303373386,0.09692469082746469,0.15159430335509563,0.7198525419144969,-0.8949040710041432,0.1662127631965737,-0.25262144708903134,1.5415554062350394
0,0.1391644135487098,0.47459726430541,0.972042743058522,0.2111417477262462,0.4817784359563815,0.9971585851776841,0.7489366468812957,-0.1146448148962937,-1.2295487199204962,0.7830817572576807,1.6430587952403117,-0.23758078250330167,-1.5881979341275776,-0.46123154620421386,-0.11214538870865857,-0.1629812260370669,0.5698867262789244,-0.2419756788832635,0.14411985034427116,0.5544206645997323,-0.12569340648342078,-1.0643008826881568,-1.0624650681208965,-1.4206859725438075,-0.9729734031044583,0.10936785734540512,0.3264439586414496,0.3817985086138686,0.3758733593055947,0.6026764475698692,0.5018219918642699,-0.1157815303496118,-0.22405900036482143,-0.2511764501553404,0.22703452805875096,-1.073932865938453,0.1313473417636578,-0.22171934993042575,-0.2437042296713459,-1.014853065110951,-0.13125722234764162,-0.8464800328556769,1.669313067531346,-0.1745929590968992,0.5270502954463224,0.15420484946007704,1.0669254802371593,0.8920247019338938,-0.42590524085494563,0.2802036495963275,0.5731567410474896,-1.4134424282014222,0.028028616863196062,-0.24108460949306046,1.4521905817869953
1,0.665067670227566,0.799809828456183,0.9615291945608132,0.8637859642176131,0.2785505599691087,0.8005142806496731,0.7330501245487673,-0.3478134946134916,-1.3522161322482766,0.9443199758555776,1.5684840371284132,0.12063173857645652,-0.9124214965381853,-0.8701062692898534,-1.3940788162850413,0.4726452036461153,0.6161185869692147,0.05647181539566101,-0.5766566605815941,0.46354784067042043,-0.14797271346856533,-1.4168933694055683,-1.7297176321504215,-0.22947352066656934,-1.3128741612932422,-0.9401419327945194,-0.21764308815156783,0.6273321047218142,0.7063474199763156,-0.17723749199335895,0.1412203646878925,-0.1726621280529948,0.38970795916785916,-0.5267964748884325,-0.07408675673788853,-1.110256746576034,-0.3431587667646693,-0.3056367969093125,-0.2302689832896414,-1.0941054032861184,0.5652901747623038,-1.1236690688971835,1.8915866350193058,0.066849321899528,-0.295019106473571,-0.15611158927392574,2.0447439807477807,1.4086473784832025,0.1760071373243408,0.6871315169966318,0.7753695531079828,-1.5079748519315603,-0.6651573500445267,0.01060561874334134,1.196325495812737
0,0.558868713774336,0.3326319263472377,0.3199990917815815,0.5134146282401586,0.7339453609421721,1.1365965965463105,1.037401304307986,-0.03995751293727514,-1.191395247214958,0.7954259275977277,1.8196099673991435,-0.2494081242428463,-0.8151676438230501,-0.6640238108821149,-0.6727360489797021,-0.16842568189622464,-0.22614213658303817,-0.10784625083369144,0.5178918790586188,0.4097506504236117,-0.4736302843199254,-0.8703919590405139,-1.2045709634882031,-1.003410829971291,-0.75831193329845,-0.17659025131375905,0.44471244288251144,0.4470564935210414,0.5342502762599602,0.02965298578459321,0.11107779737920455,0.07861410629947475,-0.031609625103349394,-0.5462632645116016,0.28952432541333073,-1.0240295918580393,0.0009990839080722853,-0.747306833766181,-0.46516295091999926,-1.3124424453179007,-0.2384699793985868,-0.3319235157707765,0.9557966017912182,-0.22965125639195688,0.24200619121055647,0.5437408537762702,1.1106780974515957,1.34598340922548,-0.04356871897685561,-0.1561901275508577,0.7158646016922259,-1.0697759081636844,0.3271186003103945,-0.3671488161250309,1.1929520787773071
0,0.847715152911139,0.9468046359798704,0.3821769446507096,0.0418463228032832,0.3464906111254746,0.7934515345261609,1.1637700594861722,-0.28060729484209856,-0.2692239481215611,0.5120620552399359,1.2663093638709833,0.40918372328810626,-0.7489577857822259,-0.31291838349113926,-1.3136206606145202,-1.1304038067879318,-0.06837351326230949,0.2566510884736381,0.8166632098590053,0.18506105847575788,-0.0345910243575568,-0.25174853775035744,-1.3455790393324314,-1.328092294428568,-1.2273737156750062,0.27931589620888986,0.5364521702702567,0.451470749208899,0.5462523529380184,-0.054590499739840995,0.3411641459025494,0.19029421427366863,-0.4706599101207552,-0.7119385041243851,0.21555292790663425,-0.4887967638211595,-0.24490463633322687,-0.514847892607583,-0.15100537808639397,-0.9465431156991159,-0.19094662183821645,-0.5326740566257093,1.1199640900308911,-0.21773331164642593,0.2927675715208458,0.6786136300879966,1.3265864600672117,1.321632769888468,0.2621425103155241,0.11124720199904622,1.2247788857719561,-0.9554611320177473,-0.15525022159008614,-0.1842960238128524,1.0202304822873816
0,0.5066941422860849,0.1393101151673667,0.3561644235104603,0.4890188344509643,0.3935952522616535,1.0714828017652025,0.8973408613101984,0.19533075412771753,-1.025990673923403,0.796218564242168,1.4351187458553396,-0.30003228853788255,-0.7519556168396545,-0.7388854545584564,-0.7518965538841499,-0.14686178134353423,0.07572850751008944,-0.17131757621963467,0.45333064916396,0.47277759069480746,-0.19489689268768198,-0.7781254257270498,-0.8926132186151153,-0.8522126909189262,-0.8212561877179573,0.08825850412660823,0.39822182738657924,0.612597019746369,0.7651615049499587,0.24864514234587723,0.09135799403326024,-0.01600590776554428,-0.21932943527434492,-0.3500095806184768,0.1337931410637102,-0.7543308349160232,0.10934732159337608,-0.5560741808415647,-0.22861810860352902,-1.2333994962359425,-0.45305845058791505,-0.492100492725203,0.9500731999361693,-0.05749066608196204,0.4109234827724206,0.5599321755535059,1.0707071699217694,1.1217097519461694,-0.00023589871296923227,0.12320731082133154,0.6480143967294023,-1.0747203687959077,0.3337610546615302,-0.40216542344895057,1.183814506176525
0,0.4908949581549141,0.3061155131597881,0.1480637648961843,0.5766021194368934,0.7919239580764996,1.1896317219612536,1.0151143114676713,0.07967429269736817,-1.13779660586602,0.7926993168602161,1.8508730289779196,-0.19592615907557148,-0.7158584673611037,-0.5961630968765772,-0.669860677183933,-0.07473472228338632,-0.4310084331378823,-0.19225868891772324,0.5782917466040687,0.20854411327894384,-0.4296928837753408,-0.9097466893424808,-1.1424750547712412,-0.9492998803849887,-0.780740884240891,-0.29461925577232717,0.45444234821928986,0.482580333644861,0.4701026636951476,0.06375095497477506,0.1493269102489721,0.11727371595839964,0.07846309728081076,-0.5945106435244351,0.28221217687486116,-1.0649287748282112,0.0201537373164321,-0.8037884191844312,-0.5518947734601447,-1.363289651765917,-0.31255419634314785,-0.23553185472647703,0.7429033038892324,-0.16101028939843245,0.2608943666062395,0.6143786861563373,1.034728116242344,1.4539188946450483,-0.01864529203226628,-0.2981730105358002,0.7865814202127219,-1.0558780840347337,0.39108090035148757,-0.4599852792008242,1.1375425161929862
0,0.9414366106158047,0.0460099801288421,0.8555774853671289,0.4035813753716194,0.4971052563510441,0.8040699177913361,0.896803070847459,-0.15321023131193504,-1.6687070580419805,1.1321222786517458,1.6573305272344168,-0.6521515624657968,-0.8842262251876414,-1.410127673296705,-0.5859711408213517,-0.40385328373825163,0.39542704348002583,0.12188572900171031,0.5332312894985579,1.080908838349405,-0.8014573963436591,-0.37925067010746805,-1.3404423143286859,-1.0189638438514805,-0.02080241129702318,-0.09414981914208623,0.43727051778233844,0.3163806685805383,0.978469416080109,0.1858319597454583,-0.4017114747542147,-0.7058948839115401,-0.3224224319973167,-0.26989256294759184,0.1240695260055883,-0.45071916898834385,-0.4809079489371175,-0.5027683148432988,-0.08077186201404489,-0.7040400310560705,-0.10551655525567046,-0.709410870064621,1.7548913557827295,-0.9372467099565241,0.042988460298265196,0.3643531402313382,1.4047773894663478,1.2493323852307885,-0.29026575810140076,0.3660852588869159,0.445247483138191,-1.0209951812099198,-0.19939268436573035,-0.09235436372682591,1.875725468741058
