y,x0,x1,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,0.3226127998578133,0.4268937084289347,-1.0167401191605534,-0.43857834261037937,1.0137837200281123,-0.285032666729906,0.1255824202568648,0.642159875446982,-0.2607637760315053,-0.240523431921668,0.3874720026771309,0.31137999850702,0.47368238906808097,-0.5309520144272429,0.4157936388689039,-0.8299772950172081,0.857370433247405,0.8586395356493383,0.7716473699068706,-1.0331684109007624,0.7932980607400278,1.2010162564681872,0.8590108378781488,-0.5205003442247946,-0.7105470067517613,-0.6396097783578769,-0.4740874242501125
0,0.9923431359273917,0.7881033266962639,-1.5863802069468322,-0.6889024092377861,1.0564692810544278,-0.47471272611006593,-0.12893384549485457,0.6919367371332743,-0.08960164368851925,-0.11589449696884384,-0.5825867805980899,0.7857461193727936,0.3468467274970855,-1.0685352929860796,0.9843741158599624,-0.8183058287969611,1.150670062271717,1.795737177114962,1.2113723674105654,-1.6420933105662996,0.5184409087615184,1.5362198279167754,0.5061111050188339,-0.7168332646250735,-0.6788963659126006,-0.9843956956158452,-0.5646863368598699
1,0.5288588475292851,0.7066741713434297,-1.3302787568242844,-0.5962267681334462,1.0071430739208782,-0.17402039886958626,0.03883179088030231,0.5344157944851914,-0.1281037681727249,-0.2552550447222611,0.05537416128764532,0.3487322496623997,0.35617920040941586,-0.7513479379066511,0.5520827182250697,-0.8320304482886346,0.8486871192404312,1.0735940536495523,0.9549507123057739,-1.298572817730861,0.6927931361131727,1.328638026873963,0.7606770348467625,-0.5459655770815789,-0.662140297108119,-0.8028389035460811,-0.5573692166674976
0,0.7785050780685007,0.076755402854984,-0.7550803071969792,-0.30910095596442083,0.9395636894250858,-0.7742305143027823,-0.12532942037738937,0.8791702520749362,-0.501436176603822,-0.2949870397289258,0.338458355970978,0.4701471391750288,0.4441936147280869,-0.6516103297841105,0.6033472166370949,-1.0389759138649324,0.9713326704798201,1.3492290532113664,0.8407798819804104,-1.0594480062905771,0.6262866737340782,1.2531823975001395,1.0482154166500834,-0.58524662862777,-0.6387304157579742,-0.6919097102436893,-0.43819872341943744
0,0.9676948056610284,0.7548786823404581,-1.5209244172027678,-0.6555107411659602,1.0568362426722981,-0.4837648579154512,-0.11793708936944311,0.7022773728088738,-0.11563518610461179,-0.14546772561451135,-0.49815768964260004,0.752783561117954,0.35478857901647276,-1.0417337560768924,0.9498366817092454,-0.8315269821692101,1.1274490021326333,1.7380348128297354,1.1897970824033175,-1.6042292435222156,0.5358594619329659,1.5174574043240376,0.5568678652305125,-0.7009343896357118,-0.6706261945894654,-0.9629453902534664,-0.5555572195409126
1,0.2377072033374014,0.5882610622310983,-1.1573606735698074,-0.5403206008166929,1.0309407016448229,-0.10363037487995433,0.14453718308895067,0.5708896231633578,-0.18003607599561144,-0.23024876471901684,0.31570233682653015,0.25774284711534734,0.44487997431239135,-0.5512099630880711,0.4130742814331064,-0.7927485801377118,0.8067415172854416,0.7819223267426523,0.7873407156179303,-1.0737085865839726,0.8278819823564816,1.2093087091875274,0.7932439774665933,-0.5103947714150849,-0.7183165283018647,-0.6633649779618354,-0.49337662824773504
0,0.1912018172797474,0.2130892315783722,-0.8813716544902829,-0.386784473552971,0.9867799526955326,-0.3564460691868016,0.1592848701829403,0.6997900606403898,-0.32442807538450474,-0.16777546773399632,0.5234875659728422,0.30775340981713234,0.5277269221847661,-0.37592624002182284,0.34424565277445734,-0.8075042719106872,0.9035457249157421,0.7858762363152666,0.6508888065575544,-0.8608726300806934,0.8230471217361088,1.0948289785970666,0.8617962209509455,-0.5323464171387846,-0.7688217783761776,-0.5159369427213448,-0.4462442643871384
0,0.129061553206897,0.1755858955859179,-0.8700424047813071,-0.3923133612536237,0.98843754367379,-0.3481553756504943,0.17459988644185662,0.7106553371927405,-0.3245699429058532,-0.1366767738826417,0.5451215199765355,0.3068656170803809,0.5427588262217191,-0.33223469329353816,0.3274543837347563,-0.7873411848667545,0.9185690780729412,0.7550980040247076,0.6186938109726471,-0.8165231199705025,0.8414187187266648,1.0591694051662264,0.8414909606235471,-0.5391281451730752,-0.7955438592984628,-0.4762569977921686,-0.4412577638708443
0,0.0912409589407847,0.1840244553972028,-0.8795172576637803,-0.40411378276204324,1.0000399008263863,-0.3253908185642004,0.18594479091576976,0.7124947168455665,-0.3131274418245191,-0.12526914417311466,0.5465468499934717,0.30662286263869154,0.5498084614668893,-0.31956540667121625,0.3230695842494907,-0.7745476466202035,0.9217618750069225,0.7326037676527525,0.6111140343460962,-0.8045433346627365,0.8582429193586848,1.0467146963482725,0.8244259559424997,-0.5416017896406684,-0.8097336024799495,-0.46373838949291796,-0.43739009383203753
1,0.4648776157233806,0.8940185885691436,-1.5827231912454345,-0.7791186823084163,0.9535843085200201,0.0773995465380099,0.028457508512362492,0.39339331415179785,0.001739681668703641,-0.21634307785389806,-0.0940740820145544,0.23870124291636038,0.25695694973067995,-0.7663202058059638,0.5276707439456283,-0.8025444905853608,0.7748605489432255,1.02973242106013,0.9874341676909705,-1.3534243369017054,0.6680280394097765,1.3292022835724053,0.653297327643628,-0.5384449961182061,-0.6706443350364397,-0.856187072013715,-0.6244323938740989
