y,x0,x1,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
1,0.3226127998578133,0.4268937084289347,-0.7916375580677338,0.782216403171152,0.34885032110026015,1.0257230126928485,-1.0841096803012897,0.4912872515455554,0.08999649808002337,0.3426083523484423,-0.5224974831832137,0.8408721838567437,-1.0775182366736227,0.7792777552100838,-0.340374774909498,-0.6596368840995471,0.10484093982253244,0.39039288393981886,-0.6390700099018997,0.15349126793149692,0.8430183833968802,0.6444596946427071,0.08268056954447178,-0.2681178522671448,-0.5425975644969278,-0.2302577776311796,-0.7485592005765548,-0.6552311974003837,-1.140038367644942,0.9854731937311431,-0.4841188160214345,-0.39764560585262687,0.6101033934338986,-0.6890119974405591,-0.15111074851509987,0.32376607041051253,-1.0215122721449972,-0.7094833287585659,-1.092314637046253,0.35617833116787784,0.3858393966269159,-0.3320196747121818,0.44481543283784314,-0.9670729950768253,0.3710923586080811,-0.8727237602197393,0.19376610636786573,-0.3594359983039769,-0.28065400741453045,-1.2267859656760973,-0.011644302286680841,-0.680751712213273
0,0.9923431359273917,0.7881033266962639,-0.7135661336088885,1.2830298630479842,0.29114143408379634,0.8530632172965927,-1.1617705510712688,0.354289163798541,-0.5863731071952696,0.07345448996598075,-1.2038350077804754,0.47735563122875874,-0.8815654336106076,0.9211773375653789,-1.135225329099117,-0.36556891102144645,0.1453655577845416,0.6085825919708784,-0.9262155659707124,0.2434283664981361,0.911685819012821,0.6804585400109883,0.2665814129983395,-0.4270688115698962,-0.4942784201958119,-0.19305182959280923,-1.3656534600947299,-0.643014725393775,-1.0086840614354582,1.5110053087893778,-0.9092327258367066,0.06550907795069745,0.7297305826315361,-0.9395788990393953,-0.32705059788059326,0.26610675206564127,-1.8218778599724783,-0.27012839774816705,-1.291089142320033,0.10113617164490733,0.9377962356949603,-0.6317990753222374,0.8188317553395603,-0.9668487750564039,0.22347197588526382,-1.1794216815219754,-0.04855751844767407,-0.9491684185138775,0.03230379397914167,-1.678826831467571,0.40104281771508504,-0.4897778113699265
1,0.5288588475292851,0.7066741713434297,-0.6580440738499799,0.9534619959589934,0.42123728947938877,1.111570748188765,-1.0824878596034462,0.37312561524348975,-0.15770233852186355,0.31829537470736424,-0.6558124309924089,0.7284499531572971,-1.0201219907624637,0.7124998126681557,-0.6560568834693644,-0.4936339095957917,0.04241931757282893,0.4000993644478008,-0.6836269143246956,0.36079318211836636,0.8774024266319569,0.649250491183491,0.1327994088872233,-0.2877113943779674,-0.41521725836756823,-0.23321635213428435,-0.9818075203191514,-0.6056502487857597,-1.1750194598817107,1.1385504240871918,-0.5740020592845674,-0.22012893547095783,0.6154138372601224,-0.7770613327064857,-0.07570346283745463,0.3281294941493914,-1.2257427483508425,-0.6395991022354537,-1.2216920246421827,0.22375539611153372,0.6749184630024619,-0.5421201289144877,0.5141614389752946,-0.9036259635607631,0.44007314274469733,-0.9640432141862633,0.14010206316447504,-0.6666609168455508,-0.1597327367152596,-1.3633010482216943,0.07492468686398085,-0.5218409590386975
0,0.7785050780685007,0.076755402854984,-1.1281431080113102,0.9580798387215881,0.21897334152180017,0.839119641496928,-1.2114745722346503,0.6439796037841731,0.07422498335422038,0.09791297043426372,-0.9600413709337305,0.7908086958420082,-0.9555881799711533,1.0351583823797081,-0.21617538101662367,-0.6288864776186259,0.4940426440834092,0.6969679080037103,-0.8253935247053836,-0.2777634760840538,0.7754028271472854,0.7398684258776685,0.3427767291573145,-0.3636194268428386,-0.7593633724836539,-0.11697450757039168,-0.7423723205285498,-0.6246964447585164,-1.0217824660108477,1.172546457446369,-0.840317466968195,-0.3789874002260695,0.7305051672761728,-0.9387146614348202,-0.4341074031613237,0.3504409242089894,-1.345206571212348,-0.3431065770088411,-1.0725303132633286,0.3909453997628528,0.33123959023320154,-0.1876761558961622,0.5856178456926293,-1.259651860569678,0.1259710018667925,-1.0276147492402228,0.22856888220630256,-0.522724143007682,-0.11889114094599022,-1.3491462841277444,0.09688007065728381,-1.0571210710406573
0,0.9676948056610284,0.7548786823404581,-0.7268072018321725,1.2546969650547537,0.29420369627133086,0.8613582360901587,-1.16683617975902,0.36521606197829043,-0.5425887724804688,0.08223835631486834,-1.1637295948104718,0.5080161790995076,-0.9003327576501179,0.9138292195312214,-1.0671580852552156,-0.37643413718758045,0.1566221002148271,0.595226190842911,-0.900449381160823,0.21826252206251026,0.8993999443075262,0.691109213633985,0.2585430577177694,-0.4276356931234642,-0.5075530221460037,-0.1873834735686029,-1.3100043267366666,-0.6388319205408013,-1.0302961825840726,1.4790833416081193,-0.8885297690010273,0.026349917647083013,0.7301327738177673,-0.9271849470041522,-0.3223817929231921,0.2635834675316657,-1.776050802117883,-0.28788451240134333,-1.2829956969953866,0.1219204746166382,0.8969869026910403,-0.59343214591697,0.7953357579597584,-0.9863406942288195,0.23532774155166042,-1.1729751535462005,-0.04075858949747549,-0.9133120870206787,0.010548187421335689,-1.6538026160609214,0.37476806470054563,-0.5226395136183115
1,0.2377072033374014,0.5882610622310983,-0.7413704358094855,0.7857413458682357,0.3977511147801481,1.0986503648614687,-1.0312338675636687,0.4703158784710974,0.054442653077735756,0.38206163871115967,-0.415188816876902,0.8162531210569586,-1.0993906159557356,0.6868437094203559,-0.4168411720612898,-0.6497254370486029,0.019593452078920215,0.3315176268446073,-0.5801610101972995,0.31559655108802426,0.8647132949271473,0.5956043691049717,0.033536749118828056,-0.21025222520526748,-0.4487529951623423,-0.272566100113119,-0.7906913088371802,-0.6477641647915215,-1.1670354268203706,0.9823464338419757,-0.38456271207002596,-0.3498857078241341,0.572074201214875,-0.6921663881803679,-0.08656197380596342,0.2952900422574324,-0.9791510234365927,-0.7747703525681382,-1.1391011759378358,0.25959737870027083,0.4829807995959652,-0.4812491682134749,0.4112072696239116,-0.8445846911592858,0.41949561993808104,-0.8363306428787298,0.21928928657729727,-0.41993929784323203,-0.2815144419326013,-1.2203863281088194,-0.002911182941980825,-0.558927774457381
0,0.1912018172797474,0.2130892315783722,-0.8878192097441467,0.6753216360073344,0.2803415345742624,0.9576403657911807,-1.0617232050460683,0.5699238993478034,0.24871530373837847,0.3754535829237085,-0.4965008668380273,0.8965130851880158,-1.0527850756781618,0.8402523721273308,-0.1666004915880051,-0.7898608567075691,0.15874527893162504,0.4150039883477524,-0.6751268117086728,0.028596471390489268,0.8387965881161955,0.6231857330768459,0.08825014304799784,-0.22527602505959887,-0.6207079630030968,-0.24746592484926097,-0.6601672841032371,-0.6820479620399207,-1.062650974530717,0.900419504338027,-0.47373585406349156,-0.48493691792553,0.5808206185875253,-0.6459216752713235,-0.21606615878278282,0.35866338473494885,-0.9000495672437352,-0.7428267959124644,-0.978132876934612,0.4403448056413168,0.21026855921688034,-0.22630273109441906,0.4163006556645176,-0.9964037871208522,0.27958282391042,-0.7822635598971952,0.2645635174899197,-0.191059356836045,-0.3232342493912838,-1.1174971152246707,-0.06743710856444908,-0.7693617756462764
0,0.129061553206897,0.1755858955859179,-0.907119520252499,0.6407977084214093,0.26233270286183913,0.9426632190747536,-1.043392970694054,0.59081929884552,0.2858144029169218,0.3937223140830485,-0.47263229111668087,0.9080283156282327,-1.04568045308122,0.8430225117029866,-0.1321227534439367,-0.8313094754328406,0.15627211614583728,0.40747691122132235,-0.6785134649930846,0.01938665351276672,0.844286809680677,0.6061631238579186,0.07907037741907279,-0.20141603551198659,-0.6303987118985992,-0.2637997554708636,-0.6468102468960488,-0.6910625462392876,-1.0416409932008224,0.8743063145115713,-0.45276232734008504,-0.500458996116879,0.5625130007307345,-0.6281139002765928,-0.22967471299902228,0.36009006417393097,-0.8581219685899307,-0.7651039238920281,-0.9486727221262559,0.4481635136182789,0.17253394977916403,-0.2191332037906053,0.40424538379981517,-0.9828767580331447,0.2555872500534739,-0.746468358370227,0.2871750898961593,-0.14531540123969908,-0.3373407045200007,-1.0813918598944101,-0.07632995266908878,-0.7709312707335585
0,0.0912409589407847,0.1840244553972028,-0.9080852809385763,0.6278403623448022,0.25861855872177,0.9413643453716233,-1.0309870119962008,0.5960307228847581,0.2916660011391488,0.40288686857694994,-0.44919775848127175,0.9080724741561736,-1.0494083708282902,0.8336048784355153,-0.12886524181376716,-0.8453083220616688,0.14109059406592445,0.3913410838416697,-0.6686094483018252,0.03327506473846393,0.8488171929401322,0.5929993046811415,0.06506692600327749,-0.18903942623166037,-0.6258850766832522,-0.27558596632499816,-0.6462105549633709,-0.6967216105612767,-1.0403969557593407,0.863073492083356,-0.42936218987108216,-0.5005286089555387,0.5540900688152629,-0.6188149496578503,-0.22902750733353214,0.34985919809905663,-0.8398422782321713,-0.782444652469355,-0.9435305233366369,0.4386036210208369,0.1674281863107605,-0.2311943437660498,0.39708650168307047,-0.964349261587777,0.2531797337447692,-0.7318394401078175,0.29231855204123,-0.12879601098466126,-0.34671530380193016,-1.0697251627768327,-0.0728823530826638,-0.7565616397195076
1,0.4648776157233806,0.8940185885691436,-0.5905839556826964,0.9740073739768172,0.4838015743191268,1.2479368633387549,-0.9966794902125158,0.3174673420476942,-0.1806840159998176,0.4005999392664541,-0.5885977105526432,0.6746722158014893,-0.9787360528946398,0.6056674697988484,-0.7692319205165639,-0.47073767740575206,-0.04603958471417119,0.36757750995447896,-0.6756584681086654,0.5944860775626861,0.9111226318172044,0.5795663347025136,0.13511712064223722,-0.18541462444928902,-0.2725016689212957,-0.3050003663078029,-1.0935168329160605,-0.5669821908392854,-1.1708264742710168,1.1346856603881592,-0.522657635283347,-0.15032350130910077,0.544424374572055,-0.8267149187008116,0.04484026272766242,0.36935253522964684,-1.1636914125435105,-0.7242623091397087,-1.261195651684661,0.10783007777285115,0.8307778965568658,-0.7816146336545645,0.484946205854893,-0.7431640896174552,0.4943304434726725,-0.8902728113887087,0.2305946450592965,-0.8282146409301958,-0.11440390034747974,-1.3332950930978325,0.040709551291552626,-0.3650701420378537
