y,x0,x1,p00,p01,p02
1,0.8723437717341204,0.6385992938342623,-0.1500093029256941,-0.33328803257440515,0.006115621924534173
0,0.4578669251810372,0.421676076791657,0.15054185193092826,-0.5340032430741848,-0.41696618998454665
0,0.7167524727183396,0.2996674784166362,0.14460896085804908,-0.5624029024490542,-0.26802793425432214
0,0.4674661944928597,0.4419207422313567,0.1359007348203589,-0.5227599868473259,-0.4036054395925278
1,0.6478523917950071,0.0602843983548174,0.31487677453236285,-0.7009419666383131,-0.4244916816983233
1,0.4318729992773669,0.2206787742015981,0.2745895756555346,-0.6369374675420184,-0.5090051410505423
1,0.5685853944838617,0.9537119171468932,-0.21080687895393266,-0.24668770175518812,-0.2262471716755584
0,0.3012051065194584,0.2112571599653057,0.3034673447575935,-0.6453545224487941,-0.5823417454663223
1,0.5901561835955078,0.0986465880420995,0.30782293730389854,-0.6871299349769062,-0.45284136385205986
1,0.2643240149481999,0.35402984418638,0.22936297263301464,-0.5781464769191057,-0.547169600148923
0,0.1879959790729197,0.7826753990992928,0.0029674059446943846,-0.36982712094698283,-0.45669070847855103
0,0.8811906627133073,0.3285899952834357,0.060089355941801814,-0.5041609749175252,-0.09250515929789098
0,0.6309121910510347,0.4534001576301044,0.07752055527781777,-0.49544914486230185,-0.28162732753502145
1,0.5221311309760934,0.2051917976961258,0.26250005097267776,-0.638820523742583,-0.45809862740586416
0,0.927464189070685,0.8397173275660329,-0.3219118466587664,-0.20467829892947043,0.10460007142441483
0,0.3324401506539464,0.0960967993015425,0.36231902566886187,-0.6986729329744527,-0.6093746672854081
0,0.904217165553664,0.1762756192033632,0.15352377596281852,-0.5843686392275589,-0.13261414719815276
1,0.0179768176256309,0.3880415113555339,0.2303358008447313,-0.5663420858578685,-0.6307785491035975
0,0.1942817607964985,0.9184628096081152,-0.07163642172865081,-0.3015987827942326,-0.437044689661215
1,0.7900165960449076,0.3547375646312356,0.08077169845645811,-0.5155070473114408,-0.17692919494983006
0,0.7622141482955985,0.1898624825391135,0.19859070855683475,-0.6132326587549016,-0.27230600662991794
0,0.4754627208324989,0.4867455258061874,0.1068079815569526,-0.49892580169486445,-0.38283162381750985
1,0.6056840109438334,0.0977660665036571,0.3041948696475173,-0.6860910553512828,-0.44175095827307537
0,0.6686836042621508,0.9154170813505152,-0.23300376316598076,-0.24620653014049226,-0.14862184169799694
0,0.4516858797390546,0.3830194640998323,0.17508037864463646,-0.5542343036659142,-0.4349942404940663
0,0.0426049454884804,0.050726635856395,0.40556484899464795,-0.7103899514184463,-0.7354508285961826
1,0.3884781358805373,0.9306589770336976,-0.12881676167936112,-0.2816376084702793,-0.34210000773788407
0,0.7020251220375621,0.8289996798356114,-0.19354080423198625,-0.282399766067157,-0.12613805894051486
