y,x0,x1,p00,p01,p02
1,0.3226127998578133,0.4268937084289347,0.2974253266262632,0.1807506518571355,0.708436707862279
0,0.9923431359273917,0.7881033266962639,0.20731219881312754,-0.037824224172914804,1.2325043532003295
1,0.5288588475292851,0.7066741713434297,0.1255133376579529,0.022017667664426574,0.9699132719711928
0,0.7785050780685007,0.076755402854984,0.33337167904826104,0.21716591993735224,0.6859228901900759
0,0.9676948056610284,0.7548786823404581,0.21948541747596423,-0.02758973277506905,1.1921461762249153
1,0.2377072033374014,0.5882610622310983,0.2107798987176289,0.14603315647582382,0.7817064308526654
0,0.1912018172797474,0.2130892315783722,0.39829533650380117,0.28582211160027515,0.5347555579754015
0,0.129061553206897,0.1755858955859179,0.4254478718963793,0.31403338932859903,0.4914081973727365
0,0.0912409589407847,0.1840244553972028,0.43412478091379414,0.3252263796228507,0.48219741552763423
1,0.4648776157233806,0.8940185885691436,-0.08553701405245388,-0.040445791546112976,1.066382417035487
1,0.4479792995496078,0.7283192811684097,0.09643811508033982,0.026041805285811417,0.9523771479077594
0,0.809299724392994,0.6785472949363611,0.21126976371942907,0.013473718849352084,1.061189284882955
0,0.7306580054788016,0.2622090138702497,0.33165455021801254,0.1763757951509248,0.7557691559000563
0,0.7202730283218024,0.7359142927655238,0.144168414426755,-0.002089135702027757,1.0687110043520767
0,0.0237904807034132,0.8818745833108053,-0.07936597271977984,0.1670272976241112,0.8699083680685891
1,0.4529686778804141,0.0580510125735193,0.36947073261057106,0.263399114972668,0.5547631869339855
1,0.1623796982517916,0.5419118055610251,0.2523136034003982,0.1941540792920631,0.7255120028481957
0,0.9690230111667676,0.0495790551237458,0.3204726196402457,0.16387406050617812,0.7622797167901836
0,0.9820015277852222,0.9429851393123276,0.06347072658684576,-0.03740345847443914,1.3677663439614904
0,0.7678749041352592,0.1571678477451549,0.3364272513963782,0.2008536815711447,0.7171592292958189
1,0.5790843562613435,0.0572600731578659,0.34989554940709877,0.24778438264984276,0.6012583497118598
0,0.948052416468258,0.2243629352356841,0.34145649980646303,0.13389928171102936,0.8266480211322379
1,0.0386824254680434,0.6658843036901587,0.17294910271806554,0.21675639825555143,0.7610180106388761
0,0.9160470448574334,0.7620290311673046,0.1936569206839024,-0.020326654040509373,1.174263437705123
1,0.3101171702325381,0.445876721316443,0.2897338366542547,0.1770168041598038,0.7160087066249209
1,0.3614278868089858,0.1393667219684764,0.37721117631443074,0.26163335011023864,0.558700213242091
1,0.6521044931800558,0.2335343288722152,0.33389040496325145,0.1953013258282533,0.7116458936203652
0,0.2177000784193534,0.6933076840037142,0.12535435288437036,0.11392384519339988,0.840690799608302
0,0.1147208267741648,0.2865728684133535,0.39317869689733564,0.29310451067253956,0.5495158304817835
