y,x0,x1,x2,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09
0,0.3680848623264954,0.0470595887923871,0.5316578566344605,-0.36049169980917384,0.3943912297244473,-0.8459555328991589,0.6250133234769524,-0.32846542671697126,1.0680656059671663,-0.4085129018504466,-0.1330334233661679,0.542401465106927,0.2797251260798408
1,0.6672598769042778,0.2339424690456754,0.417621745462061,-0.6504118966112572,0.42257433018504187,-0.9089034384574717,0.5025401448992215,-0.3368950478565166,0.9307493976881568,-0.4495695129216689,-0.3512749181731756,0.27987744789428715,0.4785994495584759
0,0.5596714369053566,0.4525410958915914,0.3281092994216537,-0.7444356956831053,0.37838579648141346,-1.0250454737911645,0.5325618526525199,-0.2191774234746317,1.035788363143566,-0.5727121192302691,-0.5551395949830097,0.32647507941092585,0.5885274649742706
0,0.0677286892435703,0.3957568789695974,0.6275619172908731,-0.45621751121307597,0.40864827966786926,-0.932009182007932,0.8107160155943145,-0.2698630792719331,1.313652303541215,-0.5606959849242463,-0.27103822833452296,0.8061004733235124,0.26452834207619946
0,0.8103478927570292,0.319620406288899,0.7335095046821637,-0.7447160153654321,0.33784414029545445,-0.7944922609295483,0.6803040608244851,-0.9253891031364078,0.98273810874131,-0.4884880476753459,-0.21830575494190588,0.1951685089658774,0.15161896431753782
1,0.4449518990236621,0.903557286402596,0.9793552145678508,-0.6468022440564609,0.33194742169838376,-1.0802058324180903,1.4445791559722625,-1.582467564743409,1.391718403836419,-1.3141340823356686,-0.7432918190823172,0.22393845709159022,0.034105788565968236
0,0.4502834894751002,0.6305468963794607,0.9218932958972744,-0.6128426266221929,0.3185209789239891,-0.9654796477695129,1.008383883354865,-1.1703775014182516,1.3674608344551966,-0.8214658471942902,-0.4227569520848081,0.48119875781552746,-0.014942713917338136
1,0.0239980526874282,0.2467552773310857,0.3754764433892911,-0.35707241644947213,0.37158908376078814,-0.8855661271762528,0.676729097056073,-0.0058486951629701115,1.1382574405260868,-0.566479021190419,-0.31809550409634973,0.7290388886872886,0.4149432408094207
1,0.1879597436522344,0.7144922914592373,0.5825406715179273,-0.7002077327638527,0.4100789866377318,-1.075497203579914,0.9341945393258178,-0.41190240072339723,1.3783924312705738,-0.7725956637597073,-0.5293579731493689,0.5858196308022778,0.3846754219987828
0,0.1166364425806498,0.3324771444744543,0.7929381273613318,-0.4043820451172431,0.38819132315401617,-0.9322914002724175,0.8226562966550818,-0.5437448188625558,1.3718817054338102,-0.5038438471635249,-0.1383342022540977,0.843400222918636,0.07399739379693833
0,0.2039285041636805,0.072791856271525,0.2508691354635657,-0.31477854826841417,0.35177953001288653,-0.887525781403583,0.5345073807071664,-0.025337588365312195,0.9921862730037805,-0.5300742806993433,-0.3131049723479855,0.5731777125211438,0.45569868600571617
0,0.2609570395114831,0.7482931323491507,0.3330868154335363,-0.784830010050569,0.3407152479857929,-1.1289719958001756,0.7506696223738357,-0.26239079320644343,1.3119793409930727,-0.7666266130006019,-0.6580996413895404,0.42051316449038745,0.5675571551464926
1,0.0489371004163722,0.6240924799904218,0.9795163164674662,-0.5130649311322224,0.3684475879705299,-1.0316428539818396,1.0789245215890664,-1.006546063353647,1.54094667268865,-0.7533108388139813,-0.2573616872862828,0.870019584308697,-0.13999946551297474
0,0.6064633861314039,0.2006738832207686,0.5484127216872227,-0.5793661252970695,0.4091552159188476,-0.8769835735467449,0.5974820474172382,-0.4659653373031697,1.0191000370474912,-0.4196590969366559,-0.23447722669227195,0.3575530429158172,0.3463696786792667
0,0.6991399856059127,0.1479145715264166,0.0046449962122983,-0.5364803428961171,0.44600924865340036,-1.0010760076945668,0.21294379296658578,-0.04473629461309532,0.7750344076620298,-0.4407549142294796,-0.5871997189020244,0.19974535987889425,0.6742561494930265
1,0.7550503666478335,0.7002792413741584,0.3486240505622564,-1.0514671322175324,0.27401497281415893,-1.1249543666910058,0.5423618196939631,-0.4034029232705525,1.0455812641673132,-0.7581743560429547,-0.7976761715910405,0.10164789915693247,0.6533504301854518
1,0.9459230412454456,0.3624872089378829,0.1518996350154399,-0.8671976543469178,0.40454899243274384,-0.9785360723288551,0.18978719932044946,-0.11869340319425636,0.7124961983374604,-0.5252796526429483,-0.684574143363854,0.030161900961916795,0.6824362016099274
1,0.5950817402817876,0.5732932867074177,0.459292400486879,-0.8439176574247728,0.3600756730448151,-1.042468728816666,0.6499684197783625,-0.3969626725733275,1.1034509440111286,-0.665089543339517,-0.5871963447924037,0.2958906559454276,0.5319364406820226
0,0.7766203906794155,0.2855240667672255,0.8651316147574158,-0.6414218433963814,0.285350494563108,-0.7312678698125753,0.7450631516268569,-1.238523178770303,1.0597949648658354,-0.4507129744472442,-0.10301092201540675,0.23145651544040924,-0.08344949068248643
