y,x0,x1,x2,x3,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,0.150009486416522,0.5781905125033504,0.880458685142964,0.8480295960243671,-0.3017744998287978,-0.4364246091067581,1.3840857684823789,-0.5567931794416877,0.8740865893917933,0.5243576338600489,0.5178807395746133,1.3272109144301678,-0.3778040409611405,0.688843274117008,-1.3260657339609412,0.6260361220031806,-0.47775919625295876,-0.5586137685798775,0.27476638982418516,0.9310523938928564,0.37184473913571536,0.45228079633562573,0.035979680361627055,1.9738944011167927,1.06344240611249,0.39533706321061235,0.8090747562410863,0.7403588961197923,0.8912467532785417
0,0.059545259032531,0.6821423888601056,0.9364231058306284,0.0455664904099573,0.5289402589916334,-0.07054760966999851,1.3685540091061645,-0.9091010614130324,0.03892306900456079,0.2700964526666022,0.3250358372307033,1.5732047628594938,-0.48622706528787984,0.9558372135943332,-0.7354091902883371,0.8039260480999905,0.1085348268989202,-0.5753424231697882,0.2587757580700652,0.9977167254433911,0.3382929999274831,0.6296562347590076,-0.05896168180907388,1.2823080701332252,1.1804307245415,0.14348328965056167,0.9133081415885603,0.8775165613646507,0.3837313957987656
0,0.5755421937043635,0.1220746029851306,0.6302230588967037,0.0967257257104139,0.3293202333313757,0.030703177717452623,1.3110902387221084,-0.20388525324392864,0.1421431607070431,-0.47005225228114006,-0.0346696743343421,0.8717119931236273,-0.8036343059545311,0.7965498171904712,-0.37445605106582636,0.21178353527620905,0.09202838023586477,-0.6643807015867824,0.5746421766064297,1.0908494473508303,0.06781203361187556,0.3679656084991789,0.38614101812731466,0.9990374909321221,0.4395045884957029,0.39351097491962067,1.0748188110923507,0.24178461646940275,0.5466311117987551
1,0.0150463065822044,0.2585976609153571,0.9608101444001468,0.5168916553745935,-0.19596334882612587,-0.35684273226671664,1.1713021996418023,-0.329037095741627,0.6437880390571982,0.4647052786502741,0.28418622161865303,1.4815817840867336,-0.30825064798417273,0.6831107227030313,-0.9847652523998633,0.6115127961211284,0.17984987072686534,-0.7041621794431696,0.3174569776926383,0.9491254020401921,0.622341900452546,0.6624088849571471,0.12215598617216275,1.605830631996385,0.9042036915732438,0.5424546971177058,0.7658743509716386,0.6302611675320522,0.43552130531227823
0,0.5964230723195899,0.1750480840159072,0.8626720063476906,0.60848306858606,0.2266506782395495,-0.32948803794309106,1.340557628422117,-0.3243806246943171,0.530961871158018,0.16820555993492195,0.08925730664897515,1.049368524026317,-0.5823308464767148,0.7078173255392118,-0.9125446721103743,0.11777303573838792,-0.05861300642281684,-0.5025927923975959,0.41928930792846464,1.2890181999952453,0.35742160539520673,0.5251258617968037,0.6173053240048446,1.5237009205643421,0.5379291414634467,0.6520538669162915,1.1710146871173077,0.16797148580587296,0.8952941095365076
0,0.1815455147635671,0.0716814454342696,0.0778187015398126,0.2568996532804309,-0.04516637589785268,0.013807775749497453,1.158745213049888,0.34323123529515026,0.03986876463621234,-0.4082957177932496,-0.06209500805289015,0.9310678444967947,-0.6843380751777458,0.8522059958405557,-0.12495807095731287,0.4514364020490136,-0.007619002027189515,-0.7071373390483221,0.453756073192495,0.8951612026943098,-0.1251609918761978,0.057891467214762383,0.2680000170469343,0.6447112700799102,0.5516155225587116,0.6151597638329066,0.9139290610349464,0.6459876298485392,0.19371375378012792
0,0.8709710338949475,0.8810688187017651,0.4017226202168827,0.6153531653293488,1.1249849909890683,0.053486656350374626,1.1895260050281942,-0.03497614636579731,0.7974655528124547,-0.25660255397677695,0.3410328103203907,0.5294763593527289,-0.509036772729498,1.1390928086406562,-1.3255348760160344,0.24268503537118405,-0.6164948763435535,-0.054122427894076224,-0.06470550455291621,0.8332387221938994,-0.2110323373907,-0.3576223720502859,0.9239463349540442,1.2309060038416961,0.9630309582288515,0.49971208098723696,1.411715136543942,0.8159980131495441,1.1382663614819324
1,0.5390195915987916,0.6535751553890374,0.6651037093987416,0.0875331273438411,0.6389560343960415,0.14231516806834082,1.357581564291336,-0.6682418269123733,0.14211061453978913,-0.1551775489630868,0.21993033852155464,1.1117542267570781,-0.7093007159033626,1.1099548309713736,-0.5187392681347459,0.4616443559721553,-0.1926452951047536,-0.32010045561392325,0.3387132907654217,0.9071128649010463,0.18388574170459662,0.3825908860209738,0.3752328540163783,1.122820347088635,0.7093186507842866,0.22823255625837552,1.2238647743699058,0.5930988911600944,0.771859140604057
1,0.9897379870417382,0.1473791541181882,0.4202492395892617,0.7292142311775737,0.8484254732537745,-0.14153121903861476,1.455612844436253,0.12297081123302062,0.6179552271409697,-0.5997880201969186,-0.3930682507323637,0.3982009528955856,-1.0654410143413933,0.5505631274864441,-0.9437085894968991,-0.2512597996464425,-0.36078864388828114,-0.7149203064329271,0.44295080809122095,1.2616339264444099,-0.4363335181171176,-0.038687389856511815,1.4360787306549212,0.9808817538314114,0.4715251680391118,0.6458990102162568,1.3105847181352444,-0.03658869972185422,0.9295276012806973
0,0.3186834297309361,0.6962695538108961,0.9408782100439742,0.0494530725178978,0.7064029696001776,-0.11980493708786709,1.343619550935823,-1.153064428594882,0.08429094556900389,0.2703826159395489,0.3705086242852787,1.4434534076928358,-0.6165547351701762,0.9670890348050754,-0.6127679370097997,0.7258243708486123,0.03378097656965771,-0.41965862776440355,0.2928657053841354,1.0790211223078288,0.38202884088125005,0.5998490419981239,0.11631781607304215,1.3225564027732177,1.081412650737514,0.15809059768282674,1.0556051714653207,0.6647656420044793,0.6750220716213703
