y,x0,x1,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09
1,0.8723437717341204,0.6385992938342623,-0.8737985004212384,0.6273373322989642,0.8611666767463719,0.3075295734633195,-1.029484589711855,1.0607351583342859,-0.5767131823448223,1.863734045514901,-1.406079239075552,-1.0594530772782902
0,0.4578669251810372,0.421676076791657,-0.4795623769616538,0.3636022249376641,0.7866741094323473,0.7046669594449015,-0.8310039703039738,0.8976764565414495,-0.345186864206836,1.3192006287788633,-1.0241790256562615,-1.0979684098119122
0,0.7167524727183396,0.2996674784166362,-0.522412830372474,0.5710932460661325,0.7473233470497181,0.48765269189678684,-0.9534635735198593,0.9552328835131851,-0.5511694764375565,1.4009704065669155,-1.0978354589164798,-1.0815731100836559
0,0.4674661944928597,0.4419207422313567,-0.4980311262487625,0.3555971902797263,0.7916225166416614,0.6965718921395629,-0.8298139517438478,0.8991642081707187,-0.34382694187790314,1.3377542401390687,-1.0353056817977928,-1.0983902768167468
1,0.6478523917950071,0.0602843983548174,-0.3536848461233049,0.6502984412270276,0.6998284476294881,0.5687801820271182,-0.9585233876650222,0.916098945623879,-0.5791100074594914,1.178392394978152,-0.9249782125082769,-1.0598901964141032
1,0.4318729992773669,0.2206787742015981,-0.3435653878652357,0.4706981847824995,0.7433436900799111,0.7292749056386671,-0.8665220391477738,0.8835221702975385,-0.39434816280782076,1.1823722976232434,-0.9362101630741666,-1.0838550082606913
1,0.5685853944838617,0.9537119171468932,-1.1262055873612575,0.2571520373215253,0.9407074481265251,0.634859402738025,-0.7321153864816448,0.9246642313452019,-0.2589170591200616,1.8557612742817333,-1.2037034676242762,-0.9696009525272774
0,0.3012051065194584,0.2112571599653057,-0.29076984510218024,0.45135221230842454,0.7563075892735873,0.8054034527075169,-0.8445166187795147,0.8821308989225777,-0.33352535234519304,1.1208635439575234,-0.8832616171634976,-1.0721846424189843
1,0.5901561835955078,0.0986465880420995,-0.34408080974838195,0.5979938106193257,0.7088754318679619,0.6154154086012816,-0.9325747441408555,0.8997029431510024,-0.524991625608204,1.1770583511137047,-0.929307288183873,-1.0689086364480826
1,0.2643240149481999,0.35402984418638,-0.3574062674790206,0.364777112602411,0.78577732382296,0.8242183282384327,-0.8011214952535324,0.8975069226226544,-0.2725181288968331,1.179487540847239,-0.9154266110596454,-1.080769074817297
0,0.1879959790729197,0.7826753990992928,-0.6573645686509215,0.12144406186629511,0.9209670622250165,0.8221415590080284,-0.6622698362216934,0.9158663511032916,-0.06715173884071098,1.331366108665317,-0.896358043167704,-1.011219350655927
