y,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0.642218141427945,0.6112373469197069,0.3827720375883392,0.24488125221020218,0.9613931607434263,0.8014429613864122,0.9244160094113578,0.5644101886062001,0.5694135354970088,0.6244366783506834,0.4625226582393801,0.20978799148415628,0.16984244535250992,0.4809150340716487,0.40706304513308855,0.30644465345866057,0.28857233502023905,0.03344835198262741,0.7938576227598977,0.5987577603976353,0.4381643451128524,0.6844736995708414,0.77436831515383,0.6952903375896967,0.3636463805238024
0,0.4057568565497418,0.1633365249398,0.41230874941505447,0.4769456725849349,0.7208005941570637,0.7618198638672082,0.05247768268133146,0.2325407852972482,0.8926966611157903,0.2013992689216697,0.34633525486348005,0.327329731653639,0.6491381649218118,0.40738736088706284,0.7653592814155463,0.9209147966174555,0.4029966764314452,0.5330528702317133,0.9981005565035567,0.5734210504038062,0.7558291388282911,0.08579596156272196,0.9900993559142285,0.3274299169969559,0.5703841846820329
1,0.03809380083752234,0.6811558202886677,0.358978535604919,0.4157536441680928,0.679199613472582,0.36519322581191194,0.7446392024738909,0.42031495800499186,0.5519391629949666,0.9600912135391587,0.22972959470944365,0.11688113228756669,0.7195172096410832,0.059464161973347474,0.16470157895527404,0.08593520986891034,0.9682043135195232,0.053036729215094836,0.29026171180418203,0.680293381234721,0.6096571418945361,0.2665939740931479,0.9415166689753945,0.6870783275032736,0.3688296557973062
0,0.06250611150568897,0.731783430973293,0.17261486368652412,0.5601800287604356,0.1005715872959616,0.6576353167790566,0.5811347684519158,0.7001215347980447,0.9981767876960129,0.5514430279601901,0.46560594835071356,0.7398669289379639,0.5463309272102118,0.0445421172461119,0.6164410601166744,0.7875141818426976,0.6674494641066924,0.40781860554083027,0.08542279300860023,0.43933500908696443,0.4866806356008079,0.3294040846899192,0.5585637796394053,0.6416728145167747,0.7142821786252534
0,0.5110055088584686,0.4452466014730001,0.4041360958714749,0.7023495732827619,0.1687391909489635,0.41949789878161126,0.01455189611344232,0.5221135604574332,0.7456334612713357,0.44274553259610017,0.8249491811832789,0.3421914783039933,0.9736660972286326,0.6968746781806034,0.3713715435613224,0.8994990304922752,0.5222073832460246,0.5026759730137667,0.5637562405321711,0.5082213748135888,0.22679647722910257,0.4888731388763512,0.7300536077033577,0.05827907183666947,0.3815899762945135
1,0.25338687422896067,0.2635900086192693,0.3912073396661141,0.45484207743640614,0.632523692008712,0.7344965394116731,0.3661531900245357,0.4922763618305013,0.9153974769674661,0.6032490088590953,0.5963298152814795,0.09240625491648213,0.19424346953589278,0.19248905779992553,0.2978038232257918,0.6894003692520463,0.8963851911143441,0.22592267839286428,0.1469973318561174,0.6802480624061189,0.20567759849001654,0.22442413112747917,0.8718546791290179,0.5973205922532179,0.5626936759939273
1,0.43169025103853564,0.5808512937223131,0.5791061704802684,0.6304909765769608,0.8996097669540027,0.2677944434345425,0.41815215988565824,0.6607489244169471,0.29684628260567814,0.7090793457015858,0.1681362578410559,0.4890980789805355,0.44034670822616795,0.4858933819604989,0.3164310921325332,0.11675879428308256,0.5185005322100227,0.6082146492545906,0.14962876053066343,0.3413570697832725,0.9760079112022777,0.2200551335935006,0.5517560797606843,0.14746968715259556,0.23065080224195433
0,0.8505956910955077,0.19827767043793143,0.3623333964626344,0.04289336667362664,0.779756070203217,0.6156356291992956,0.17507495427136532,0.3625495050258136,0.8869136079342784,0.71972936238427,0.24000727327140148,0.30100174765066234,0.7314363899192966,0.6002765298158469,0.08205899049078169,0.655956486670107,0.3913225266928043,0.5340291433289025,0.2191578043071738,0.5780444428816016,0.44650857488306916,0.055782128520043384,0.7410217787911463,0.3040484098766627,0.38699771316063003
0,0.9860073204833473,0.9680309517702379,0.6488039838808658,0.4671276206387448,0.0031711521631816453,0.8432794139752663,0.009383430461097242,0.4883017081512304,0.8116643325981454,0.8927639919883077,0.6910572378374907,0.2718903130338758,0.7410789307559642,0.18647816583245314,0.09901359824113642,0.5256174609781268,0.39030447659248335,0.36023592584305175,0.921973306882511,0.029884745687432934,0.1462544376906061,0.811604393904041,0.06412531795042875,0.314694053245402,0.995265308729549
0,0.12596671437637408,0.9721340717330854,0.15450652177602364,0.18251895510372151,0.804124196608365,0.7793090430620989,0.32782278385258856,0.595048408465551,0.07424508266515328,0.18382832282447936,0.7489715117569753,0.24420830514284697,0.8997486773789012,0.41941091252729057,0.6754328927529508,0.7835379965555559,0.4359476075790878,0.9968829723266861,0.39608908174173574,0.7962304738220536,0.7729736659520066,0.9162915140556469,0.8940214710353421,0.27629245329434293,0.17483117747627486
