y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0.3914063814010047,0.07120893901417036,0.7728301143027049,0.5758548700571534,0.9116682228186275,0.6677616100687132,0.13551576816710575,0.7026936343357358,0.9469256165977064,0.2924384155118772
1,0.25588104265834166,0.6559291364874184,0.1363901836066893,3.886966031041439e-05,0.6642990035950558,0.7265391413225001,0.13474055330566026,0.4703478817057022,0.8925303310062102,0.8889003811679494
0,0.742217113721822,0.9468911831530967,0.5968298211852379,0.6718699990152482,0.13109112850541604,0.19548879647480888,0.1631772703165627,0.6503408246748674,0.05320163221630392,0.6696841585180654
0,0.6148420427325783,0.88669590640664,0.6615697202886349,0.7589276073104086,0.7582422692169457,0.9035058112652885,0.3177083176912039,0.6743458984263482,0.08485655641609602,0.8147193889434365
1,0.6685780834660694,0.52986372218775,0.4672021024050014,0.6794412920857226,0.7086173879873932,0.012225401946068915,0.9405046760719663,0.954205635861982,0.45153901422196385,0.9650649560224279
1,0.9036742519935076,0.5497487220649354,0.476195310763896,0.37083405986879947,0.1999776610251489,0.47723489890301773,0.21767963190149942,0.7940421465229095,0.4373361369538157,0.036529665556126134
1,0.8356628935114153,0.8317661701744752,0.07093488685205585,0.0033965631142338637,0.5604048493423853,0.06278281719869638,0.3287819576626718,0.39440835709404387,0.6588813543172228,0.948567276080966
0,0.025859218739009315,0.6948376974812301,0.37765325387958426,0.8105079030045119,0.07786335669928746,0.15191039502350678,0.14876028487998616,0.47476691531753834,0.6402810510680164,0.6190904528993284
0,0.8538502553945598,0.33393654628906355,0.009367499866463569,0.08501621182532426,0.451585297581217,0.5884635383154019,0.8850283010380692,0.3624775777792797,0.42604858405830603,0.5126334729143849
1,0.7751726418087082,0.1127394051107784,0.007091221224482247,0.5812449356487901,0.8877693025443686,0.44966019510454525,0.10941663835644921,0.865849269409511,0.5704571867510476,0.12784837407999183
0,0.4759192466315534,0.02770923213745724,0.5898074776545147,0.49071093965215706,0.7295023530259187,0.6179725528899903,0.7517202957643561,0.5734621420435645,0.2919328965026662,0.6201896204661195
1,0.76140160756221,0.563089015712714,0.9306794892739322,0.18265002019130372,0.779581226076568,0.8926079940657282,0.9861541069606748,0.3690759812607568,0.47691621932056216,0.030486907117457718
1,0.8494180238963864,0.5486989984388062,0.07369008370489383,0.5317416577155056,0.6827844697822684,0.7572987714163406,0.08597791659076326,0.9044481470425231,0.28753364631780354,0.6219185690062624
0,0.532644902169362,0.4002506650011589,0.5059567940269186,0.22059868380959313,0.9303782582379109,0.9775047558138545,0.6405298298547716,0.09301995153818265,0.08002581924127128,0.9623852466501163
1,0.1485707767239528,0.4640926311503367,0.3832775839805004,0.8725054427100569,0.6451475260661377,0.32289711325524517,0.8373328872808832,0.284258571834471,0.1732404083856296,0.2961775206401738
