y,x0,x1,x2
1,0.12455298973320905,0.30898293901487695,0.5455843475444044
1,0.9484078060345065,0.5655880376558566,0.1223275248295721
0,0.32215361500267414,0.20323914671001486,0.992859852318297
1,0.9233414829298998,0.6617126943090821,0.9021562646381601
1,0.3443803860843416,0.7818360672590278,0.6912228108757766
0,0.29641312576451806,0.16974489119453284,0.7092894741823788
0,0.3969751580909694,0.3280901136381761,0.40207946735319267
0,0.16236879515141556,0.3803797973685066,0.40216333315471453
0,0.4464151702115151,0.8630181939796843,0.4913647437806924
1,0.7264890879494266,0.500956316024716,0.7178295840495795
1,0.366374615207232,0.19033471227512666,0.20985788471245992
0,0.8893570988510319,0.05387876324128005,0.08117939223002657
1,0.033376706521295874,0.402415653132729,0.07607373945567653
0,0.13848489811035825,0.0656933264490932,0.8571242557368551
1,0.054140933585287265,0.20224610679480615,0.49526269346379836
1,0.4831178072307757,0.027569139110781404,0.07102527435138295
1,0.902778590820869,0.15694619219791917,0.4435696988486886
0,0.3898883606306801,0.3750507915816772,0.913765756846997
0,0.45394072136804864,0.22874652163029285,0.4658998933747186
0,0.8164014085308753,0.5747366619225232,0.6599661576145998
0,0.7897952831936538,0.7131412396108445,0.2736900187842407
0,0.9433098981162937,0.07571233985706549,0.10634429020261982
1,0.8112978423949457,0.04319107305936676,0.6197953393857812
0,0.1922850584017477,0.0906855526643735,0.27642846105424257
1,0.5949533174870577,0.2741450458192518,0.2509717017518711
0,0.8524916452998046,0.17610398164168617,0.3035963016348564
0,0.6244382858875578,0.7542563828146288,0.5153817988955927
0,0.9619397022192073,0.9867780998300588,0.01689999548381227
0,0.5964521608568999,0.5713155170832728,0.8533123682945917
1,0.47105835159862386,0.5131594559624376,0.551741464469858
0,0.817739387060852,0.74497945057788,0.9190576737072039
0,0.05897893060617232,0.013113136990971164,0.00781535370245523
0,0.9426524912050365,0.20807373265149565,0.1157061735895295
0,0.4429524227706154,0.6186175957486231,0.32155346318647315
1,0.6145494114844658,0.060768015489856775,0.8137785072082108
0,0.5619857784463897,0.12708082809904353,0.3835389386088499
1,0.528069850994769,0.8336990707036874,0.8544676515795149
1,0.2574260704675029,0.473587531457181,0.15703689831817547
0,0.01900667680531898,0.5872578575621241,0.4204877022426029
1,0.23105460837968161,0.4885609465520345,0.7773329676226349
0,0.5548440102949604,0.44213894145265376,0.023495089945001824
1,0.6100925104162328,0.058021929392254146,0.7508706003151505
1,0.24489975587702495,0.8496005926282175,0.40714381566247726
1,0.43059996996010375,0.18359179227396116,0.32743487837401375
1,0.2763746588549052,0.2933974588029489,0.4658850699895424
1,0.09298198366115773,0.6186877450760955,0.014475234893737698
0,0.8750006220480459,0.1745124756605564,0.7290918533956775
0,0.9992508053717414,0.2786519379836685,0.8505015010433762
0,0.22757286623379325,0.7499747921351843,0.8336391438666858
0,0.3018512699242558,0.8678933656911129,0.04400473663054372
0,0.3247578676497995,0.5892310045098857,0.39618437740325485
0,0.70488617239839,0.3425149441674319,0.5281946193416517
1,0.3273459071988212,0.7121435549166738,0.47529086047097047
