y,x0,x1
1,0.8723437717341204,0.6385992938342623
0,0.4578669251810372,0.421676076791657
0,0.7167524727183396,0.2996674784166362
0,0.46746619449285975,0.4419207422313567
1,0.6478523917950071,0.06028439835481747
1,0.4318729992773669,0.2206787742015981
1,0.5685853944838617,0.9537119171468931
0,0.3012051065194584,0.2112571599653057
1,0.5901561835955078,0.09864658804209958
1,0.2643240149481999,0.35402984418638006
0,0.18799597907291976,0.7826753990992928
0,0.8811906627133073,0.3285899952834357
0,0.6309121910510347,0.45340015763010444
1,0.5221311309760934,0.20519179769612583
0,0.927464189070685,0.8397173275660329
0,0.3324401506539464,0.09609679930154258
0,0.904217165553664,0.1762756192033632
1,0.01797681762563097,0.3880415113555339
0,0.1942817607964985,0.9184628096081152
1,0.7900165960449076,0.3547375646312356
0,0.7622141482955985,0.18986248253911353
0,0.47546272083249896,0.48674552580618746
1,0.6056840109438334,0.09776606650365716
0,0.6686836042621508,0.9154170813505151
0,0.4516858797390546,0.38301946409983234
0,0.04260494548848048,0.05072663585639503
1,0.38847813588053737,0.9306589770336975
0,0.7020251220375621,0.8289996798356114
1,0.7824300530980297,0.5633361298653788
1,0.5555505486615632,0.17446633894424624
1,0.9278508464118556,0.46791239306479626
0,0.15256588604896215,0.7444022494264694
0,0.9924691203895161,0.21166704390985613
1,0.3686567809180674,0.12469185012425388
1,0.4447020696546584,0.7822271851510798
0,0.7396965737628225,0.11230779466979957
1,0.0909342960733388,0.4826304204107197
0,0.9869506178838697,0.04926068815116014
0,0.875922222464605,0.06138349806054155
1,0.3778732132849868,0.008208721846334144
1,0.6325850567585227,0.18041346576239992
1,0.2657188967069004,0.5949658094998452
1,0.12751746553278642,0.5864810262520433
0,0.9731297105323404,0.04681050599018555
0,0.7817447043014856,0.19525393394491808
0,0.29672154650404126,0.15733456946797109
1,0.0989066228908676,0.42921534164079733
1,0.629824154378935,0.6716777390049317
1,0.5586846036656765,0.07711295496145743
1,0.6117923704282469,0.9491494589686355
0,0.15840881365269244,0.3316999371266889
0,0.82076037833788,0.10211090512195409
0,0.3342043861555811,0.5483006425179208
0,0.8601542115371971,0.7288880408132513
1,0.36302385690193895,0.8346898418322958
1,0.4754052916931236,0.18060204268308977
1,0.9351894795335547,0.39402824972209094
0,0.4326600376486377,0.4200404870545066
1,0.8363227853025659,0.36860162697270704
1,0.41654228777924973,0.07220911872327196
0,0.0032987826029046152,0.12202741119686855
1,0.9235675564156097,0.6614659120356233
1,0.36040816366757644,0.1369063022001853
1,0.4046707736063718,0.9589941076167288
1,0.4907715360458711,0.7425534922582783
1,0.5177239267650342,0.8940977223106108
1,0.43494238035494126,0.11095751982039292
0,0.285464214002647,0.8042360533331988
1,0.6573211514459956,0.06893412951308975
0,0.39715584639201196,0.4809838600950368
1,0.746145289525103,0.6182767689310402
1,0.405597844857707,0.24240498409825562
1,0.2598695156068479,0.6407765526933895
1,0.3701219300799927,0.7775087144895277
0,0.7575621882262639,0.30200822654012627
0,0.4402144482936192,0.335990587914752
1,0.08508485478947714,0.5164666970059353
1,0.3815312754418908,0.8670828640825655
0,0.12485032605208646,0.32556662416231075
0,0.06284330161113205,0.12050580444719472
1,0.30625175282315664,0.3689876809972473
1,0.15493908165778558,0.36561407710364946
1,0.5029927369862159,0.29384976422065257
1,0.3938723748322197,0.03373461780508846
0,0.6301966127296941,0.6367894745058957
0,0.7445993164759511,0.2720578920159993
0,0.8738562732826947,0.04963887890395757
