y,x0,x1,x2,x3
1,0.150009486416522,0.5781905125033504,0.880458685142964,0.8480295960243671
0,0.05954525903253105,0.6821423888601056,0.9364231058306283,0.045566490409957305
0,0.5755421937043635,0.12207460298513062,0.6302230588967037,0.09672572571041393
1,0.015046306582204405,0.2585976609153571,0.9608101444001467,0.5168916553745935
0,0.5964230723195899,0.1750480840159072,0.8626720063476906,0.60848306858606
0,0.18154551476356717,0.07168144543426969,0.07781870153981263,0.25689965328043096
0,0.8709710338949475,0.8810688187017651,0.40172262021688276,0.6153531653293488
1,0.5390195915987916,0.6535751553890374,0.6651037093987416,0.08753312734384111
1,0.9897379870417382,0.14737915411818825,0.42024923958926175,0.7292142311775737
0,0.3186834297309361,0.6962695538108961,0.9408782100439742,0.04945307251789788
0,0.9019298303974967,0.2348268236573352,0.5077648711913585,0.38047281213925055
1,0.5556390173181998,0.4889557515368712,0.8052697982054609,0.4777972551551325
1,0.9789847421414181,0.5451304891386053,0.5033833053599529,0.6550469884989817
0,0.27435402353054084,0.4961606559089249,0.9988696784188141,0.33828045072917423
1,0.7325141208812679,0.6084680119352639,0.44614126834342893,0.401277386507109
1,0.7601803844430117,0.5010267245753218,0.3630659130805889,0.655213885857126
1,0.4201070012543914,0.7086163276897132,0.1269391525980481,0.09182330909886338
1,0.44567308908913694,0.2414309004519728,0.6126652217068543,0.3619511218117756
1,0.5614462050870421,0.4445604086560283,0.5577184023385938,0.681302662201037
0,0.6595479600459229,0.253563195958995,0.1772172244411544,0.486408310282032
0,0.9152997872807752,0.7655334273656497,0.29554484504802436,0.7758202104760938
1,0.06367384257012954,0.3827423802926352,0.06934835785598059,0.039332501053177094
1,0.5970212396299344,0.5063400729974307,0.6603407629995064,0.17179861918231942
0,0.9192770171183847,0.24978563461975012,0.3241657327435935,0.7045452687959249
0,0.4368502885935144,0.2351557111542848,0.5495909934248812,0.197550447888587
0,0.3579712491993813,0.41914840253601626,0.9555207844259762,0.8636734263112261
